TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Seattle,84.150295091299,97.051366480651,0.16242240001503,6–24,6,30,43.4,45.3,28.4,35.6,27.9,19.1,30.3,34,70.8,41.7,46.7,30.7,28.5,7.3,10,56.7,53.7,38.5,35.1,70.7,,,,2023,,,,-20.346848099067,69.7,73.9
Villanova,115.92016805874,82.142492704152,0.98131426508632,28–6,28,34,49.5,42.1,24.1,28.7,15.2,22,31.6,31.5,65.7,49.3,39.1,33.3,33.7,13.5,6.3,62.2,51.3,34.1,26.3,66.1,,,,2023,,,,6.8960496596241,77,70.1
Howard,84.108795656965,92.158317888167,0.25902099503624,16–14,16,30,40.3,41.6,31.8,33.5,21.9,25.1,29.5,35.2,71.1,37.2,41.5,30.7,27.8,9.6,7.8,57.8,53.9,34.3,36.8,70.9,,,,2023,,,,-11.86477523425,66.8,63.3
"Utah St.",81.74726699112,104.63904130303,0.055243841082697,3–26,3,29,38.2,51.6,29,34,22.3,21.5,24.9,34.2,72.6,36.3,50.4,27.4,35.7,7.5,12.4,50.2,59.5,39.5,36.1,73.4,,,,2023,,,,-22.495466910199,74.5,75.5
Marist,83.916358620825,94.977221781097,0.19405248158529,12–18,12,30,40.1,44.2,33.2,21,21.9,23.2,26.6,33.4,68.4,39.4,44.6,27.8,29.1,9.5,6,58.4,57.2,29,37.9,68.5,,,,2023,,,,-15.475739357851,73.7,71.9
Toledo,103.69923217461,89.198261275506,0.84970400188753,28–4,28,32,51.3,44.6,35.1,23.4,18,20.5,27,24.2,68.7,51.4,42.7,34,32.3,5.2,6.1,59.1,46.3,33.9,33.1,68.2,,,,2023,,,,0.21970543775363,78.4,73.4
Denver,90.921993772349,103.0203837724,0.19206669503648,11–18,11,29,45.5,48.7,33.6,26.6,22.1,18,29.8,28.6,68.5,45.9,48.9,30.1,32.3,10.9,9.9,57.1,58.3,48.8,33.5,68,,,,2023,,,,-15.462649435648,68.5,77.5
"Cal St. Northridge",88.880112043442,99.780791401089,0.20909257797767,7–24,7,31,44,47.7,30.2,37.5,25.7,21.5,30.1,30.7,67.3,41.4,45.7,34.3,34,7,8.7,50.1,57.2,25.7,37.9,69,,,,2023,,,,-20.004045275411,73.6,73.1
Maryland,113.46345840637,81.356512112097,0.97865495372643,25–6,25,31,49.4,47.4,28.5,24.8,17.8,25.9,31.6,33.1,75,47.6,45.5,35.8,33.6,8.4,6.5,58.4,63,29.4,37.7,73.3,,,,2023,,,,7.8901592623794,79,68.8
Rice,101.95123051691,92.401439409458,0.7560322735689,22–8,22,30,49.8,45.7,35.7,36.9,23.2,23.2,34.1,30.5,70.8,50.3,47,32.5,28.3,6.6,6.4,50.7,49.2,33,28.2,70.3,,,,2023,,,,-4.3459001545052,72.6,72.4
"Abilene Christian",98.083715339552,98.410909473681,0.49042651633731,12–15,12,27,51.2,48.3,26.1,27.5,22.2,22.2,32.9,31.5,68.7,51.4,48.9,33.9,31.4,6.9,8.7,54.5,49.6,42.1,32.8,67.8,,,,2023,,,,-12.790501052592,69.1,72.6
Rider,85.452273785898,106.30823414849,0.075061162147169,10–21,10,31,47,47.9,24.6,27.3,25.7,21,24,33.9,67.3,47.2,45.8,31.2,34.8,7.9,8.4,67.8,58.8,40.4,34,66.7,,,,2023,,,,-19.544445890146,74.3,65.9
"Boston College",95.36765186146,84.665387864415,0.79719825579077,16–17,16,33,45.2,46.6,31.1,29.7,27,24.9,36.8,29.9,73.4,46.6,44.8,27.7,33.8,8.9,7.4,58.9,57.6,27.5,29.2,73.3,,,,2023,,,,-4.6379771970528,66.3,73.6
Arizona,108.60740397446,82.450016843675,0.95964291473859,21–9,21,30,48.1,45.9,29.5,31.7,17,25.5,31.7,31.1,71.6,47.1,46,34,30.4,7.6,7.8,52.4,58.3,25.9,31,71.2,,,,2023,,,,3.475105722304,68.6,69.8
"Penn St.",99.459674969712,89.005665136436,0.78195590536946,14–17,14,31,47.6,50.2,27.4,27,22.4,26.2,30,32.6,73.6,46.6,50.9,33.2,32.7,7,5,57.1,65.3,30.1,36.1,72.5,,,,2023,,,,-6.2282892240428,69.6,76.4
