TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Hawaii,91.914166666667,78.9485,0.85178666806688,0–1,0,1,32.1,44.7,34,45.6,24.9,20.5,22.2,47.1,68.2,28.6,51.2,24,18.8,17.1,10.7,42.9,41.7,47.2,28.1,68,,,,2025,,,,-0.073661329423067,83.3,73.1
LSU,116.03698358167,76.992635994877,0.99113983822734,6–5,6,11,45.7,45.9,30.2,32.4,21.8,20.3,38.2,31.3,76.4,44.2,46.9,34.8,29.3,8.4,8.8,45.8,51.7,18.4,32.7,73.3,,,,2025,,,,4.3352319666809,73,74.8
"Fresno St.",80.961411465142,96.479291265751,0.11747193907335,0–2,0,2,37,57.4,17.7,30.1,31.4,16.8,9.7,47.1,71.6,14,58.8,41.3,35.9,4.1,22,73.1,69,47.9,28.7,69.2,,,,2025,,,,-0.084864289729393,58.8,73.2
Baylor,110.62773965262,77.373077914819,0.98388276821602,3–5,3,8,42.5,46.5,30.2,35,17.4,24.2,30.8,33.6,70.2,40,48,32.3,29.1,7.8,9.3,59.4,54.8,30.4,34.8,70.8,,,,2025,,,,1.7876787091612,70.1,74.8
"Oral Roberts",97.4695,95.04925,0.57179042506102,0–2,0,2,41.9,55.8,24.2,19,22.2,20.9,20.7,40,78.9,46.5,61.8,21.1,31,1.1,4.7,39.6,47.9,30.6,39.5,73,,,,2025,,,,-0.2921090360038,60,67.9
Ohio,69.561859407316,107.79586510063,0.0064496227577497,0–1,0,1,30.9,54.5,42.6,16.9,39.9,20,22.2,63.3,80.2,26.9,61.5,23.8,29.7,3.8,26.9,41.7,48.8,44.7,41.6,75.8,,,,2025,,,,-0.23909592465535,65,60
Winthrop,73.994207718474,99.390299084403,0.032506188929183,0–2,0,2,33,59.8,14.8,20.9,35.6,17.2,33.3,52.2,75.8,37.2,65.9,13.8,33.3,3.3,9.3,47.2,51.9,25.2,38.5,71.2,,,,2025,,,,-0.35839496429899,76.5,71
"Northern Illinois",116.36778094084,100.18954874715,0.84831627672636,0–1,0,1,60.8,58.5,27.5,15.5,33.3,18.7,27.6,38.9,75,52,66.7,46.2,31,2.4,28,60,59.5,51,40.8,74.6,,,,2025,,,,-0.1251524099052,78.6,72.7
"Georgia Tech",115.75670854371,87.122251925552,0.96331634957285,1–6,1,7,46.1,53.3,16.2,20,18.8,18.6,30.6,30.4,69,48.5,56,27.7,31.6,5.5,5.5,57.7,56.3,33.7,31.2,67.6,,,,2025,,,,-0.12613777887029,81.7,72.9
"Kent St.",92.022,86.342833333333,0.67536932614095,0–1,0,1,35.1,54.4,19.3,10.3,24.7,14.5,23.8,34.3,69,17.2,56.8,35.7,33.3,2.3,13.8,66.7,51.5,49.1,35.3,67,,,,2025,,,,-0.11123633197608,100,71.4
