TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Seattle,94.53352239945,105.41110633382,0.22226677380144,12–16,12,28,47.6,49.2,35.5,34.5,22.9,18.9,32.5,31.5,66.9,45,47.7,35.3,34.1,5,11,55.4,60.8,31.8,43.6,66.6,,,,2016,,,,-11.015360204271,66.7,66.6
Villanova,118.91025992754,90.383734709827,0.95908585684721,29–5,29,34,54.3,46.3,34.3,31.4,16.4,20.4,28.6,28.7,67.7,56.4,43.9,34.4,33.5,9.7,6.8,60.7,57.3,43.8,37.5,67.3,,,,2016,,,,8.954203212965,77.7,66.3
Howard,93.415686114355,108.50214829605,0.1516557955685,10–20,10,30,43.6,49.2,48.5,36.6,20.3,18.9,32.6,35.8,71.6,43.4,48.6,29.5,33.5,7.5,8.4,35.2,51.4,26,36.8,71.5,,,,2016,,,,-15.980907036845,72.5,68.2
"Utah St.",109.44466621398,106.24351925887,0.58452587567757,14–15,14,29,52.2,51.1,33.6,33.2,17.5,16.5,29.2,28.7,68,49.2,50.1,37.9,35.2,6.6,9.4,56.1,54.9,38.8,36.6,67.7,,,,2016,,,,-7.3072373592582,69.8,70.1
Marist,100.77175696717,115.49262182064,0.17250055535021,7–23,7,30,49.4,53.6,35.9,36.6,17.3,16.9,24.3,32,69,48.1,51.6,34.2,38.2,7,8.9,48.4,53.8,42.4,35.1,68.9,,,,2016,,,,-18.612576186976,73.3,70.2
Toledo,108.47873610247,103.71812473164,0.62623275865581,16–15,16,31,52.7,51,34.3,28.8,16.6,17.3,27.9,24.6,70.2,51.7,46.6,36.3,38.9,5.4,8.7,59.7,50.5,38,37.1,70,,,,2016,,,,-9.6417420651363,74.8,72
Denver,102.19145384831,104.0823864426,0.44748213070492,16–15,16,31,55.7,51.9,36.6,43.4,20.8,22.7,20.1,31,62.7,54.3,49.9,38.3,37,7.4,10.4,64.3,54.6,42.3,35.2,61.9,,,,2016,,,,-10.044393782952,77,75.9
"Cal St. Northridge",99.373756396255,106.65885842992,0.30712482459061,8–20,8,28,46.7,51.7,42.1,36,19.4,18.9,27.6,31.3,71.4,47.1,47.8,30.2,39.7,7.9,9,56.2,57.7,24.9,32.6,71.3,,,,2016,,,,-13.283159258089,71.7,68.4
Maryland,115.11498341632,96.431165152321,0.88459411067203,24–8,24,32,55.6,46.7,35.7,26.9,19.1,16.5,30.2,29.5,67,55.2,45.7,37.6,32.3,14,8.4,52.9,47.4,37.8,35.6,68,,,,2016,,,,4.0160647903829,75.9,70
Rice,104.14873456971,115.41151909335,0.2348962120836,10–20,10,30,51.2,56.2,41.5,36.7,17.9,18.4,26.7,32.2,71.2,53.4,52.7,31.9,41.8,7,9.1,50.8,54.2,39.7,35.1,70.7,,,,2016,,,,-14.659778749742,74.9,70.5
"Abilene Christian",95.958720911364,111.40361518228,0.152351045487,9–18,9,27,50.5,54.6,40.3,46.5,19.2,19.2,24.5,27.6,69.3,48.4,54.2,36.3,36.9,6.3,9.4,54.1,48.5,35,28.2,68.3,,,,2016,,,,-14.293575812191,70.7,70.9
Rider,98.482758915216,103.51363111049,0.36055622119909,13–20,13,33,48.3,47.8,35.4,32.4,19.2,18.2,28.6,29.4,65.6,48.9,45.7,31.5,34,10.9,7.8,54.1,54.5,35.9,38.7,65.3,,,,2016,,,,-13.882753106803,68.2,73.6
"Boston College",94.875907380785,98.996995594859,0.38013468912252,7–25,7,32,47.5,52.4,25.9,37,20,19.5,21.8,28.6,67.1,46.9,50,32.3,38.2,8.1,10.5,57.2,58.7,40.7,33.9,67.8,,,,2016,,,,-12.222942108308,65.1,68.6
Arizona,116.39792459995,95.745292915224,0.90432374244882,25–8,25,33,53.8,46.3,44.1,29.2,17.9,16.2,35.1,24.9,70,52.3,45.5,38.3,32.1,11.4,8.2,51.6,48.6,29.2,31.2,69.1,,,,2016,,,,3.4738220553401,72.3,71.2
"Penn St.",101.22387399668,100.04024399171,0.53376455274675,16–16,16,32,46.6,48.8,34.5,42.5,16.9,17.6,28.7,29.4,66.2,45.9,45.5,31.7,36.6,12,9.3,44,51.7,37,35.3,67,,,,2016,,,,-4.6360175112798,69.6,70.9
Hawaii,107.29581813732,95.869803449405,0.78497272843046,25–5,25,30,52.5,44.9,46.3,39.3,18.4,19.9,30.9,26.7,71.3,54.6,43.8,32.8,31.3,10.4,7.6,60.3,49,39.6,33.6,71.4,,,,2016,,,,0.95286778098509,68.6,70.7
"San Diego",93.482980909149,101.67370986532,0.27570292535571,8–21,8,29,45.2,50,33.9,42.1,20.6,17.4,26,28.8,66.4,46.1,48.1,29.2,36.2,10.5,10.8,53.1,52.8,41.5,30.4,67,,,,2016,,,,-13.416344439741,66.9,71
"UC Davis",93.55246318301,99.592702100911,0.32749982867285,9–19,9,28,47.9,48.3,33.6,31.8,20.7,19.7,25,28.4,66.7,45.5,48.7,35.9,31.7,4.2,8.8,49.1,57.9,29.1,37.1,66.9,,,,2016,,,,-12.744620888477,64,71.4
LSU,111.64699089154,100.27408974635,0.77477957236204,19–14,19,33,51.1,51.8,43,33.4,16.2,18.8,29.8,29.9,73,52,51.3,32.7,35,7.1,8,55.4,48.3,31.2,37.1,72.9,,,,2016,,,,-1.7897422916573,66.5,66.8
"St. Francis NY",92.343695134194,104.89540019677,0.18760748685199,14–17,14,31,45.9,46.6,36.1,34.9,20.4,18.6,32.2,30.2,66.6,46.2,45.6,30.3,33.1,11.8,9.2,51.9,48.4,43,25.4,66.4,,,,2016,,,,-13.594952742454,66.8,71.8
"Fresno St.",105.54461824103,99.905913394032,0.65280830070769,23–9,23,32,48.2,48.5,38.1,46.4,14.9,20.8,30.3,29,70.1,46.8,47.9,34.3,32.9,11.1,7.7,50,53.6,30.2,39.3,69.9,,,,2016,,,,-0.7155428365347,69.6,69.2
UMKC,101.49489717408,110.08126081505,0.28213041170711,9–19,9,28,48.8,50.3,35.3,44.1,19.4,17.2,32.7,31.2,67.5,45.5,48.9,36.8,35.1,8.9,10.7,46.3,58.6,34.2,37,67.1,,,,2016,,,,-12.772436019541,68.3,72.5
Baylor,117.79748479991,99.348575935166,0.87640533033639,21–11,21,32,51.7,51,39.2,38.1,18.9,19.8,40.2,28.8,67.2,49.9,48.7,37.4,37.1,11.1,9.5,63.8,72.9,28.6,33.8,67.3,,,,2016,,,,3.4804462044771,72.7,70.1
"Oral Roberts",106.48764043414,107.55355526347,0.47139630570626,12–17,12,29,50.5,52.1,36.6,33,17.3,15.9,28.1,30,70.3,48,50.2,38,37.4,10.2,6.3,45.3,44.6,27.6,31.2,69.8,,,,2016,,,,-9.2436393418437,75.7,73.1
Ohio,111.16713983979,106.55724200968,0.61941214951301,20–11,20,31,54.5,49.9,37.2,35.1,17.2,14.9,25.9,26.3,70.2,52.3,47.4,38.6,36.6,9.3,8,52.3,45.4,38.4,33.4,70.3,,,,2016,,,,-5.1927395688605,74.4,72.4
Winthrop,105.94561482232,107.62415915633,0.45492980912751,20–9,20,29,54.2,47.7,41.1,31.9,17.8,15.9,26,32,72.9,53.9,47.1,36.4,32.7,12.1,9.8,42.1,41.5,41.4,32,73.7,,,,2016,,,,-4.7343881812629,75.1,71.5
"Northern Illinois",100.60824219318,100.98067550361,0.48937852421927,17–12,17,29,48,48.9,41.5,41.5,18.6,19.8,32.2,27.6,68.5,44.8,45.8,35.8,35.6,10.5,9.9,55.6,56,35.4,40.4,68.6,,,,2016,,,,-6.5089995819827,67.6,68.3
"Georgia Tech",112.89665780553,98.884609001402,0.82112256324636,19–14,19,33,49.3,49.2,32.4,32.1,16.5,14.8,37.5,27.5,67.1,48.1,49.7,35,32,10.4,6.3,50.3,47.5,27.7,30.8,68,,,,2016,,,,-0.01291782743224,71.9,71.5
"Kent St.",105.61198768347,106.54985062183,0.4746037914158,18–13,18,31,49,51,40,35.1,17.5,16.8,34.1,28,67.9,49,49.5,32.8,35.9,8.9,7.2,44.7,53.7,30.3,34.8,68.2,,,,2016,,,,-6.8308720061125,68.1,73.5
