TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Maryland,102.18389912534,97.452416416973,0.63302445755137,1–9,1,10,44.4,50.4,31.6,38,16.9,16.4,28,28.2,64.2,45.2,48.6,28.6,35.8,11.4,8.8,42.8,49.6,35.3,35.2,65.6,,,,2024,,,,-2.4020934534832,73.6,82
Rice,92.662077739063,103.26334528274,0.22344251641482,0–3,0,3,39.2,58.1,29.7,24.9,22.8,16.5,20,34.7,68.7,43.7,59.3,22.5,37.1,6.5,18.4,61.1,54.2,44.9,33.5,68.4,,,,2024,,,,-0.76924239414322,74.5,65.2
"Abilene Christian",102.84973291153,115.5780056787,0.20721723579249,0–1,0,1,39.5,50.8,47.4,38.1,16.5,12,39,40,66.6,37.5,56.1,29.4,27.3,7.3,7.5,45,37.9,29.8,34.9,66.5,,,,2024,,,,-0.37673372184104,70.4,83.3
Rider,92.681242404426,97.003596155256,0.3718724368432,0–2,0,2,39.8,53.8,22.1,36.1,19.3,14.3,25,28.8,69.8,41,54.4,25,35.5,10.5,6.4,51.2,67.9,36.1,52.1,68.4,,,,2024,,,,-0.47183236652183,66.7,72.1
"Boston College",117.73722711161,100.91144087888,0.85488461800422,2–4,2,6,51.2,49.1,33.3,31.8,14.5,13,25.5,32.9,67.8,52.8,52.2,32.3,28.6,7.3,9.4,54.5,49.4,38,34,67.6,,,,2024,,,,0.032040826500644,79.8,82.2
Arizona,121.45266317288,92.740007483609,0.95696829832371,5–2,5,7,50.1,49.7,34.8,30.3,15.2,17.2,35.5,29.8,72.8,50.2,51.2,33.3,31.3,8.1,8.7,54.7,52,29.7,35.6,72.7,,,,2024,,,,2.9766872904752,73.9,74.1
"Penn St.",104.82551507028,103.41633999894,0.53883254987324,1–6,1,7,48,53.5,26.9,34.8,16,16.2,20.4,34.6,70.7,47,53.8,32.9,35.3,11.5,6.7,49.7,59.1,39.3,32.7,71.7,,,,2024,,,,-1.2997351262577,71.4,78.4
"San Diego",102.69821005362,111.95049133917,0.27051455589477,0–4,0,4,45.3,63.9,25.3,33.5,19.6,14.1,25.2,33.6,72.7,44.4,64.2,31.3,42.3,7.9,10.5,48,74.6,33.9,39.1,74.9,,,,2024,,,,-1.3673952612563,75.8,69.9
"UC Davis",109.46816666667,98.34,0.77431415157467,0–1,0,1,53.7,46.2,25.9,84.6,28.3,14.1,29.4,36.4,70.8,46.7,42.9,41.7,40,11.9,13.3,58.3,45.5,44.4,19.2,71.6,,,,2024,,,,-0.33189225091725,71.4,72.7
LSU,117.37277008272,107.5693016574,0.73165306617996,1–6,1,7,52.3,55.5,35.8,37.4,17.6,13.3,32.6,33.6,73,50.4,54.9,37,37.5,10.2,12.7,43.4,62.7,38.1,43,70.7,,,,2024,,,,-0.97296044531283,68.4,80.2
"Fresno St.",98.172057727251,109.04890488484,0.22999128266486,0–5,0,5,45.7,56.7,27.4,24.3,18,13.2,18.5,32.5,66.6,45.1,59.1,31.1,35.7,2.8,15.9,48.6,61.3,39.3,42.3,66,,,,2024,,,,-1.6948559809805,62.2,75.7
UMKC,103.03039889819,114.47174875719,0.22952491407381,0–3,0,3,44.9,65.9,23.6,50.6,21.1,14.9,29.7,26.2,69.4,49.6,62.1,24.6,47.7,6.3,8,44.4,67.8,36.5,40.6,70.1,,,,2024,,,,-0.86089783419819,73.8,74.1
Baylor,118.31691743913,101.43856339079,0.85445823368909,4–8,4,12,52.5,52.5,39.5,37.4,22.2,15,32.9,30.7,67,48.7,50.4,38.6,37.7,8.2,13.6,52.6,57.7,41.3,34.7,66.9,,,,2024,,,,0.49911481291944,74.3,73.6
